Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
LIB030.A	LIB030.A0117	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L001_R2_001.fastq.gz	NA
LIB030.A	LIB030.A0117	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L002_R2_001.fastq.gz	NA
LIB030.A	LIB030.A0117	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L003_R2_001.fastq.gz	NA
LIB030.A	LIB030.A0117	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/LIB030.A0117.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN001.A	SYN001.A0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN001.A	SYN001.A0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN001.A	SYN001.A0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN001.A	SYN001.A0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN001.A0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN002.A	SYN002.A0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN002.A	SYN002.A0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN002.A	SYN002.A0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN002.A	SYN002.A0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN002.A0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN003.A	SYN003.A0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN003.A	SYN003.A0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN003.A	SYN003.A0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN003.A	SYN003.A0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN003.A0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN005.I	SYN005.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN005.I	SYN005.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN005.I	SYN005.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN005.I	SYN005.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN005.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN006.I	SYN006.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN006.I	SYN006.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN006.I	SYN006.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN006.I	SYN006.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN006.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN008.I	SYN008.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN008.I	SYN008.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN008.I	SYN008.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN008.I	SYN008.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN008.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN009.I	SYN009.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN009.I	SYN009.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN009.I	SYN009.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN009.I	SYN009.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN009.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN012.I	SYN012.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN012.I	SYN012.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
SYN012.I	SYN012.I0101	3	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L003_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L003_R2_001.fastq.gz	NA
SYN012.I	SYN012.I0101	4	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L004_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN012.I0101.SG1.1_S0_L004_R2_001.fastq.gz	NA
SYN013.I	SYN013.I0101	1	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L001_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L001_R2_001.fastq.gz	NA
SYN013.I	SYN013.I0101	2	2	PE	Human	double	none	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L002_R1_001.fastq.gz	/home/bartholdybp/data/eager_test/input_data/SYN013.I0101.SG1.1_S0_L002_R2_001.fastq.gz	NA
