tube,experiment,sample,plate,position,treatment,weight_mg,day
F12.1A5,N,calculus,1,A5,starch,2.15,12
F12.1B1,N,calculus,1,B1,starch,1.34,12
F12.1D1,N,calculus,1,D1,control,0.44,12
F12.1D2,N,calculus,1,D2,control,0.44,12
F12.2A6,N,calculus,2,A6,starch,0.31,12
F12.2B6,N,calculus,2,B6,starch,0.09,12
F12.2C6,N,calculus,2,C6,control,0.22,12
F12.2D6,N,calculus,2,D6,control,0.46,12
F7.1A6,N,calculus,1,A6,starch,1.2,7
F7.1C4,N,calculus,1,C4,control,0.17,7
F7.2D1,N,calculus,2,D1,control,0.39,7
F16.1A2,N,calculus,1,A2,starch,1.56,16
F16.1B2,N,calculus,1,B2,starch,2.08,16
F16.1C6,N,calculus,1,C6,control,3.09,16
F16.1D6,N,calculus,1,D6,control,2.09,16
F16.2A2,N,calculus,2,A2,starch,0.47,16
F16.2B2,N,calculus,2,B2,starch,1.53,16
F16.2C2,N,calculus,2,C2,control,1.72,16
F16.2D2,N,calculus,2,D2,control,1.93,16
F20.1A1,N,calculus,1,A1,starch,2.86,20
F20.1B5,N,calculus,1,B5,starch,4.87,20
F20.1C3,N,calculus,1,C3,control,0.15,20
F20.1D5,N,calculus,1,D5,control,9.13,20
F20.2A5,N,calculus,2,A5,starch,1.44,20
F20.2B5,N,calculus,2,B5,starch,0.68,20
F20.2C5,N,calculus,2,C5,control,0.64,20
F20.2D5,N,calculus,2,D5,control,2.05,20
F24.1A3,N,calculus,1,A3,starch,4.27,24
F24.1B3,N,calculus,1,B3,starch,2.07,24
F24.1C2,N,calculus,1,C2,control,5.54,24
F24.1C5,N,calculus,1,C5,control,2.45,24
F24.1D3,N,calculus,1,D3,control,7.37,24
F24.2A4,N,calculus,2,A4,starch,2.49,24
F24.2B4,N,calculus,2,B4,starch,1.99,24
F24.2C3,N,calculus,2,C3,control,3.46,24
F24.2C4,N,calculus,2,C4,control,3.44,24
F24.2D3,N,calculus,2,D3,control,3.77,24
