Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
SRS011310	SRS011310	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS011310.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS011310.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS063478	SRS063478	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS063478.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS063478.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS011247	SRS011247	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS011247.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS011247.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS013711	SRS013711	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS013711.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS013711.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS012281	SRS012281	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS012281.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS012281.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS056892	SRS056892	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS056892.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS056892.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS023591	SRS023591	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS023591.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS023591.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS058105	SRS058105	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS058105.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS058105.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS075406	SRS075406	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS075406.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS075406.denovo_duplicates_marked.trimmed.2.fastq	NA
SRS052668	SRS052668	1	4	PE	Human	double	none	/home/bartholdybp/data1/databases/refseq/source/SRS052668.denovo_duplicates_marked.trimmed.1.fastq	/home/bartholdybp/data1/databases/refseq/source/SRS052668.denovo_duplicates_marked.trimmed.2.fastq	NA
SRR6129806	SRR6129806	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129806_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129806_2.fastq.gz	NA
SRR6129807	SRR6129807	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129807_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129807_2.fastq.gz	NA
SRR6129808	SRR6129808	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129808_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129808_2.fastq.gz	NA
SRR6129810	SRR6129810	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129810_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129810_2.fastq.gz	NA
SRR6129809	SRR6129809	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129809_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129809_2.fastq.gz	NA
SRR5420280	SRR5420280	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR5420280_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR5420280_2.fastq.gz	NA
SRR5420282	SRR5420282	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR5420282_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR5420282_2.fastq.gz	NA
SRR6129811	SRR6129811	1	4	PE	NA	double	none	/home/bartholdybp/data1/databases/refseq/source/SRR6129811_1.fastq.gz	/home/bartholdybp/data1/databases/refseq/source/SRR6129811_2.fastq.gz	NA
