species	Oxygen tolerance	abs
Abiotrophia defectiva	anaerobe	FALSE
Acetivibrio clariflavus	anaerobe	FALSE
Acetivibrio saccincola	anaerobe	FALSE
Acetivibrio thermocellus	anaerobe	FALSE
Acetoanaerobium sticklandii	anaerobe	FALSE
Achromobacter denitrificans	aerobe	FALSE
Achromobacter spanius	aerobe	FALSE
Achromobacter xylosoxidans	aerobe	FALSE
Acidihalobacter ferrooxydans	aerobe	FALSE
Acidipropionibacterium acidipropionici	anaerobe	FALSE
Acinetobacter bereziniae	aerobe	FALSE
Acinetobacter lwoffii	aerobe	FALSE
Actinobacillus delphinicola	facultative anaerobe	FALSE
Actinobacillus succinogenes	aerobe	FALSE
Actinobacillus suis	facultative anaerobe	FALSE
Actinomyces gaoshouyii	facultative anaerobe	FALSE
Actinomyces howellii	anaerobe	FALSE
Actinomyces israelii	anaerobe	FALSE
Actinomyces lilanjuaniae	facultative anaerobe	FALSE
Actinomyces naeslundii	anaerobe	FALSE
Actinomyces oris	anaerobe	FALSE
Actinomyces radicidentis	facultative anaerobe	FALSE
Actinomyces viscosus	anaerobe	FALSE
Actinomyces weissii	anaerobe	FALSE
Actinoplanes friuliensis	aerobe	FALSE
Actinoplanes missouriensis	aerobe	FALSE
Actinoplanes teichomyceticus	aerobe	FALSE
Advenella kashmirensis	aerobe	FALSE
Advenella mimigardefordensis	aerobe	FALSE
Aequorivita sublithincola	aerobe	FALSE
Aeromicrobium choanae	aerobe	FALSE
Agarivorans gilvus	aerobe	FALSE
Aggregatibacter actinomycetemcomitans	facultative anaerobe	FALSE
Aggregatibacter aphrophilus	facultative anaerobe	FALSE
Aggregatibacter segnis	facultative anaerobe	FALSE
Agromyces aureus	aerobe	FALSE
Agromyces flavus	aerobe	FALSE
Ahniella affigens	aerobe	FALSE
Akkermansia glycaniphila	anaerobe	FALSE
Akkermansia muciniphila	anaerobe	FALSE
Alcaligenes faecalis	aerobe	FALSE
Alcanivorax dieselolei	aerobe	FALSE
Alicycliphilus denitrificans	aerobe	FALSE
Alistipes finegoldii	anaerobe	FALSE
Alistipes indistinctus	anaerobe	FALSE
Alistipes onderdonkii	anaerobe	FALSE
Alistipes shahii	anaerobe	FALSE
Alkalilimnicola ehrlichii	facultative anaerobe	FALSE
Alkalitalea saponilacus	anaerobe	FALSE
Allokutzneria albata	aerobe	FALSE
Allosphingosinicella indica	aerobe	FALSE
Altererythrobacter epoxidivorans	aerobe	FALSE
Alysiella filiformis	facultative anaerobe	FALSE
Aminobacterium colombiense	anaerobe	FALSE
Ammonifex degensii	anaerobe	FALSE
Amycolatopsis albispora	aerobe	FALSE
Anaerococcus prevotii	anaerobe	FALSE
Anaerocolumna cellulosilytica	anaerobe	FALSE
Anaerohalosphaera lusitana	anaerobe	FALSE
Anaerostipes caccae	anaerobe	FALSE
Anaerostipes rhamnosivorans	anaerobe	FALSE
Antarcticibacterium flavum	aerobe	FALSE
Aquiflexum balticum	aerobe	FALSE
Arcanobacterium haemolyticum	anaerobe	FALSE
Arcticibacterium luteifluviistationis	aerobe	FALSE
Arthrobacter alpinus	aerobe	FALSE
Arthrobacter sp.	aerobe	FALSE
Aureimonas populi	aerobe	FALSE
Avibacterium paragallinarum	facultative anaerobe	FALSE
Avibacterium volantium	facultative anaerobe	FALSE
Azospira oryzae	anaerobe	FALSE
Azospirillum humicireducens	facultative anaerobe	FALSE
Azospirillum ramasamyi	aerobe	FALSE
Azospirillum thiophilum	aerobe	FALSE
Bacillus infantis	aerobe	FALSE
Bacillus sonorensis	facultative anaerobe	FALSE
Bacteroides cellulosilyticus	anaerobe	FALSE
Bacteroides coprosuis	anaerobe	FALSE
Bacteroides eggerthii	anaerobe	FALSE
Bacteroides fragilis	anaerobe	FALSE
Bacteroides helcogenes	anaerobe	FALSE
Bacteroides intestinalis	anaerobe	FALSE
Bacteroides ovatus	anaerobe	FALSE
Bacteroides thetaiotaomicron	anaerobe	FALSE
Bacteroides uniformis	anaerobe	FALSE
Bacteroides xylanisolvens	anaerobe	FALSE
Barnesiella viscericola	anaerobe	FALSE
Belliella baltica	aerobe	FALSE
Beutenbergia cavernae	aerobe	FALSE
Bibersteinia trehalosi	facultative anaerobe	FALSE
Bifidobacterium breve	anaerobe	FALSE
Bifidobacterium catenulatum	anaerobe	FALSE
Bifidobacterium choerinum	anaerobe	FALSE
Bifidobacterium dentium	anaerobe	FALSE
Bifidobacterium eulemuris	facultative anaerobe	FALSE
Bifidobacterium imperatoris	anaerobe	FALSE
Bifidobacterium lemurum	anaerobe	FALSE
Bifidobacterium longum	anaerobe	FALSE
Bifidobacterium pseudolongum	anaerobe	FALSE
Bifidobacterium pullorum	anaerobe	FALSE
Bifidobacterium saguini	anaerobe	FALSE
Bifidobacterium scardovii	anaerobe	FALSE
Bifidobacterium subtile	anaerobe	FALSE
