sample,source,day,plate,row,treatment
LIB030.A0117,library control,,,,
SYN001.A,saliva,0,,,
SYN002.A,saliva,3,,,
SYN003.A,saliva,5,,,
SYN014.A,medium,5,1,D,control
SYN014.C,medium,9,1,D,control
SYN014.D,medium,12,1,D,control
SYN014.E,medium,15,1,D,control
SYN014.F,medium,18,1,D,control
SYN014.G,medium,21,1,D,control
SYN014.H,medium,24,1,D,control
SYN015.B,medium,7,1,D,control
SYN015.D,medium,12,1,D,control
SYN015.E,medium,15,1,D,control
SYN015.F,medium,18,1,D,control
SYN015.G,medium,21,1,D,control
SYN015.H,medium,24,1,D,control
SYN017.A,medium,5,2,A,control
SYN017.B,medium,7,2,A,control
SYN017.C,medium,9,2,A,control
SYN017.D,medium,12,2,A,control
SYN017.E,medium,15,2,A,control
SYN017.F,medium,18,2,A,control
SYN017.G,medium,21,2,A,control
SYN017.H,medium,24,2,A,control
SYN018.C,medium,9,2,A,control
SYN018.H,medium,24,2,A,control
SYN005.I,calculus,24,1,A,potato
SYN006.I,calculus,24,1,A,potato
SYN008.I,calculus,24,1,B,wheat
SYN009.I,calculus,24,1,B,wheat
SYN011.I,calculus,24,1,C,mix
SYN012.I,calculus,24,1,C,mix
SYN013.I,calculus,24,1,C,mix
SYN014.I,calculus,24,1,D,control
SYN015.I,calculus,24,1,D,control
SYN016.I,calculus,24,1,D,control
SYN017.I,calculus,24,2,A,control
SYN018.I,calculus,24,2,A,control
SYN019.I,calculus,24,2,A,control
SYN020.I,calculus,24,2,B,mix
SYN021.I,calculus,24,2,B,mix
SYN022.I,calculus,24,2,B,mix
SYN023.I,calculus,24,2,C,wheat
SYN024.I,calculus,24,2,C,wheat
SYN025.I,calculus,24,2,C,wheat
SYN026.I,calculus,24,2,D,potato
SYN027.I,calculus,24,2,D,potato
SYN028.I,calculus,24,2,D,potato
