species,LIB030.A0117,SYN001.A0101,SYN002.A0101,SYN003.A0101,SYN005.I0101,SYN006.I0101,SYN008.I0101,SYN009.I0101,SYN012.I0101,SYN013.I0101,SYN014.A0101,SYN014.C0101,SYN015.B0101,SYN015.D0101,SYN015.E0101,SYN015.F0101,SYN015.G0101,SYN015.H0101,SYN015.I0101,SYN016.I0101,SYN017.A0101,SYN017.B0101,SYN017.D0101,SYN017.E0101,SYN017.F0101,SYN017.G0101,SYN018.C0101,SYN018.H0101,SYN018.I0101,SYN019.I0101,SYN021.I0101,SYN022.I0101,SYN023.I0101,SYN025.I0101,SYN026.I0101,SYN028.I0101
Burkholderia pyrrocinia,3,4,6,5,1,1,1,NA,NA,1,NA,NA,4,3,1,3,3,2,NA,3,NA,NA,1,NA,1,NA,9,5,NA,NA,NA,4,NA,1,2,1
Burkholderia multivorans,3,27,25,38,75,31,14,66,121,8,7,5,29,14,18,48,11,13,96,16,31,7,12,13,7,3,67,12,2,158,40,66,95,111,59,125
Burkholderia cenocepacia,3,15,24,17,71,38,29,60,65,6,18,12,22,9,11,33,13,7,54,22,32,15,15,11,1,5,51,4,2,134,44,51,52,134,60,57
Burkholderia stabilis,2,7,10,14,39,30,NA,42,71,5,5,3,7,1,5,8,2,5,78,19,21,9,NA,7,6,2,18,1,9,85,13,39,73,61,36,90
Burkholderia ubonensis,2,18,5,15,3,4,4,7,4,7,9,1,5,5,1,11,6,8,7,4,3,2,2,2,2,2,30,10,2,5,2,1,2,8,10,8
Burkholderia ambifaria,2,2,8,4,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,NA,1,1,NA,NA,NA,2,1,NA,5,3,NA,1,1,1,NA,1,2,1
Burkholderia stagnalis,2,9,10,11,15,3,13,24,21,3,12,9,14,11,5,15,4,4,14,6,4,5,4,8,6,3,30,4,4,19,20,16,13,38,11,18
Burkholderia territorii,1,2,8,8,22,7,1,8,21,2,6,NA,10,1,NA,1,1,4,18,2,32,4,NA,NA,NA,NA,25,6,NA,82,2,7,38,38,27,36
Burkholderia cepacia,1,12,21,24,27,5,2,14,22,NA,4,1,13,2,4,6,5,6,29,10,12,3,1,3,5,NA,36,3,3,80,2,13,24,57,24,65
Burkholderia latens,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,1,NA,2,1,6
