Sample,IRSF,FWHM,day,grind,Sample_day
Archaeological calculus,2.923,189.49799,NA,a,Archaeological calculus
Archaeological calculus,2.978,178.57527,NA,b,Archaeological calculus
Archaeological calculus,3.188,135.25204,NA,c,Archaeological calculus
Archaeological calculus,3.375,118.41085,NA,d,Archaeological calculus
Archaeological calculus,3.346,116.1142,NA,e,Archaeological calculus
Archaeological calculus,3.434,109.74988,NA,f,Archaeological calculus
Artificial calculus,2.944,195.34261,16,a,Artificial calculus day 16
Artificial calculus,2.812,156.49159,16,b,Artificial calculus day 16
Artificial calculus,2.955,123.00391,16,c,Artificial calculus day 16
Artificial calculus,3.017,110.22911,16,d,Artificial calculus day 16
Artificial calculus,3.074,104.44659,16,e,Artificial calculus day 16
Artificial calculus,3.495,104.71749,16,f,Artificial calculus day 16
Artificial calculus,2.884,184.80907,16,a,Artificial calculus day 16
Artificial calculus,3.078,148.93398,16,b,Artificial calculus day 16
Artificial calculus,3.17,137.3187,16,c,Artificial calculus day 16
Artificial calculus,3.081,121.18361,16,e,Artificial calculus day 16
Artificial calculus,3.121,118.77615,16,f,Artificial calculus day 16
Artificial calculus,2.905,159.66667,16,a,Artificial calculus day 16
Artificial calculus,3.02,145.6472,16,b,Artificial calculus day 16
Artificial calculus,3.11,123.8771,16,c,Artificial calculus day 16
Artificial calculus,3.06,119.8562,16,d,Artificial calculus day 16
Artificial calculus,3.077,115.39709,16,e,Artificial calculus day 16
Artificial calculus,2.927,190.55374,20,a,Artificial calculus day 20
Artificial calculus,3.124,137.44446,20,b,Artificial calculus day 20
Artificial calculus,3.296,105.2262,20,c,Artificial calculus day 20
Artificial calculus,3.165,98.16789,20,d,Artificial calculus day 20
Artificial calculus,3.018,96.74273,20,e,Artificial calculus day 20
Artificial calculus,2.896,281.35406,20,a,Artificial calculus day 20
Artificial calculus,2.957,157.34901,20,b,Artificial calculus day 20
Artificial calculus,3.055,140.99265,20,c,Artificial calculus day 20
Artificial calculus,3.145,134.35054,20,d,Artificial calculus day 20
Artificial calculus,3.165,121.8876,20,e,Artificial calculus day 20
Artificial calculus,2.747,166.73904,20,a,Artificial calculus day 20
Artificial calculus,2.911,143.48746,20,b,Artificial calculus day 20
Artificial calculus,3.023,131.96933,20,c,Artificial calculus day 20
Artificial calculus,2.941,118.79333,20,d,Artificial calculus day 20
Artificial calculus,2.986,110.84988,20,e,Artificial calculus day 20
Artificial calculus,2.832,174.32414,24,a,Artificial calculus day 24
Artificial calculus,3.061,127.44548,24,b,Artificial calculus day 24
Artificial calculus,3.093,118.21258,24,c,Artificial calculus day 24
Artificial calculus,3.109,110.5568,24,d,Artificial calculus day 24
Artificial calculus,3.116,104.43759,24,e,Artificial calculus day 24
Artificial calculus,2.994,158.15459,24,a,Artificial calculus day 24
Artificial calculus,3.036,140.85728,24,b,Artificial calculus day 24
Artificial calculus,3.016,130.26314,24,c,Artificial calculus day 24
Artificial calculus,3.134,117.8717,24,d,Artificial calculus day 24
Artificial calculus,3.094,111.98055,24,e,Artificial calculus day 24
Artificial calculus,3.15,108.37574,24,f,Artificial calculus day 24
Artificial calculus,2.761,186.34064,24,a,Artificial calculus day 24
Artificial calculus,2.964,154.15352,24,b,Artificial calculus day 24
Artificial calculus,2.972,130.9776,24,c,Artificial calculus day 24
Artificial calculus,3.038,125.69445,24,d,Artificial calculus day 24
Artificial calculus,3.152,117.6546,24,e,Artificial calculus day 24
