genus	Oxygen tolerance
Streptococcus	facultative anaerobe
Campylobacter	facultative anaerobe
Pseudomonas	aerobe
Actinomyces	facultative anaerobe
Corynebacterium	facultative anaerobe
Neisseria	facultative anaerobe
Haemophilus	facultative anaerobe
Lactobacillus	anaerobe
Aggregatibacter	facultative anaerobe
Kingella	facultative anaerobe
Enterococcus	facultative anaerobe
Gardnerella	anaerobe
Cutibacterium	anaerobe
Bacteroides	anaerobe
Bifidobacterium	anaerobe
Bordetella	facultative anaerobe
Rothia	facultative anaerobe
Eggerthella	anaerobe
Fusobacterium	anaerobe
Cupriavidus	aerobe
Nocardia	facultative anaerobe
Achromobacter	aerobe
Clostridium	anaerobe
Finegoldia	anaerobe
Enterobacter	aerobe
Capnocytophaga	facultative anaerobe
Prevotella	anaerobe
Veillonella	anaerobe
Chryseobacterium	aerobe
Histophilus	facultative anaerobe
Leptotrichia	anaerobe
Micrococcus	aerobe
Porphyromonas	anaerobe
Abiotrophia	facultative anaerobe
Acinetobacter	aerobe
Burkholderia	aerobe
Cronobacter	aerobe
Dolosigranulum	facultative anaerobe
Schaalia	anaerobe
Bradyrhizobium	aerobe
Rhodococcus	facultative anaerobe
Gemella	facultative anaerobe
Microbacterium	aerobe
Moraxella	facultative anaerobe
Ralstonia	aerobe
Arcanobacterium	facultative anaerobe
Propionibacterium	anaerobe
Brucella	aerobe
Cardiobacterium	facultative anaerobe
Pasteurella	facultative anaerobe
Alistipes	anaerobe
Avibacterium	facultative anaerobe
Mycobacterium	facultative anaerobe
Paenibacillus	aerobe
Parabacteroides	anaerobe
Parvimonas	anaerobe
Treponema	anaerobe
Trueperella	anaerobe
Methylobacterium	aerobe
Phocaeicola	anaerobe
Variovorax	aerobe
Gottschalkia	anaerobe
Actinobacillus	facultative anaerobe
Brevibacterium	aerobe
Brevundimonas	aerobe
Delftia	aerobe
Enterocloster	anaerobe
Hungatella	anaerobe
Kocuria	aerobe
Odoribacter	anaerobe
Alcaligenes	aerobe
Blautia	anaerobe
Desulfobulbus	anaerobe
Desulfosporosinus	anaerobe
Desulfovibrio	anaerobe
Elizabethkingia	aerobe
Eubacterium	anaerobe
Flavobacterium	aerobe
Herbaspirillum	aerobe
Janthinobacterium	aerobe
Kerstersia	aerobe
Methanobrevibacter	anaerobe
Nocardioides	aerobe
Serratia	aerobe
Acidipropionibacterium	anaerobe
Akkermansia	anaerobe
Bibersteinia	facultative anaerobe
Chlorobium	anaerobe
Chromobacterium	aerobe
Comamonas	aerobe
Curtobacterium	aerobe
Ensifer	aerobe
Filifactor	anaerobe
Gordonia	aerobe
Lautropia	aerobe
Massilia	aerobe
Micromonospora	aerobe
Pauljensenia	anaerobe
Pseudobutyrivibrio	anaerobe
Selenomonas	anaerobe
Streptomyces	aerobe
Tannerella	anaerobe
Tsukamurella	aerobe
Acetivibrio	anaerobe
Actinoplanes	aerobe
Agromyces	aerobe
Alicycliphilus	aerobe
Anaerococcus	anaerobe
Brachybacterium	aerobe
Cellulomonas	aerobe
Deinococcus	aerobe
Glaesserella	facultative anaerobe
Glutamicibacter	aerobe
Janibacter	aerobe
Kluyvera	aerobe
Leifsonia	aerobe
Mameliella	aerobe
Muribaculum	anaerobe
Opitutus	anaerobe
Pannonibacter	facultative anaerobe
Parascardovia	anaerobe
Pedobacter	aerobe
Phytohabitans	aerobe
Scardovia	anaerobe
Serinicoccus	aerobe
Sphingomonas	aerobe
Spirochaeta	anaerobe
Syntrophotalea	anaerobe
Tessaracoccus	aerobe
Zymomonas	anaerobe
Acidihalobacter	aerobe
Aeromicrobium	aerobe
Alkalitalea	anaerobe
Allokutzneria	aerobe
Alysiella	facultative anaerobe
Amycolatopsis	aerobe
Anaerocolumna	anaerobe
Anaerohalosphaera	anaerobe
Arthrobacter	aerobe
Azospirillum	aerobe
Bacillus	aerobe
Barnesiella	anaerobe
Beutenbergia	aerobe
Butyricimonas	anaerobe
Caballeronia	aerobe
Caldithrix	anaerobe
Caloranaerobacter	anaerobe
Catenulispora	aerobe
Cellulosimicrobium	aerobe
Cloacibacterium	aerobe
Cruoricaptor	facultative anaerobe
Cryptobacterium	anaerobe
Dehalobacter	anaerobe
Denitratisoma	aerobe
Desulfomicrobium	anaerobe
Desulfosarcina	anaerobe
Desulfurivibrio	anaerobe
Devriesea	facultative anaerobe
Dyella	aerobe
Dysosmobacter	facultative anaerobe
Eikenella	anaerobe
Epidermidibacterium	aerobe
Faecalibacillus	anaerobe
Fibrella	aerobe
Fictibacillus	aerobe
Flaviflexus	aerobe
Frankia	aerobe
Fretibacterium	anaerobe
Gallibacterium	aerobe
Georgenia	aerobe
Granulibacter	aerobe
Hoyosella	aerobe
Hydrogenophaga	aerobe
Isoptericola	aerobe
Jiangella	aerobe
Jonquetella	anaerobe
Kroppenstedtia	aerobe
Labilibaculum	facultative anaerobe
Leucobacter	aerobe
Limnochorda	anaerobe
Luteimicrobium	aerobe
Luteipulveratus	aerobe
Maribacter	aerobe
Marisediminicola	aerobe
Microterricola	aerobe
Mogibacterium	anaerobe
Moorella	anaerobe
Mucilaginibacter	facultative anaerobe
Muricauda	aerobe
Nakamurella	aerobe
Niastella	aerobe
Nocardiopsis	aerobe
Olsenella	anaerobe
Ornithinimicrobium	aerobe
Oxalobacter	anaerobe
Paludibacter	anaerobe
Pandoraea	aerobe
Paraburkholderia	aerobe
Paracoccus	facultative anaerobe
Paraoerskovia	aerobe
Pedococcus	aerobe
Pelobacter	anaerobe
Phreatobacter	aerobe
Pontibacter	aerobe
Prauserella	aerobe
Protaetiibacter	aerobe
Pseudodesulfovibrio	anaerobe
Pulveribacter	aerobe
Rhodoferax	aerobe
Rugosibacter	aerobe
Saccharomonospora	aerobe
Salinispora	aerobe
Sanguibacter	aerobe
Simonsiella	aerobe
Singulisphaera	aerobe
Sporolactobacillus	facultative anaerobe
Streptacidiphilus	aerobe
Streptosporangium	aerobe
Sulfurifustis	facultative anaerobe
Sulfuritalea	anaerobe
Syntrophus	anaerobe
Tepidanaerobacter	anaerobe
Thauera	aerobe
Thermaerobacter	aerobe
Thermobacillus	aerobe
Thioalkalivibrio	aerobe
Vespertiliibacter	aerobe
