species	PC1	PC2	PC3
Corynebacterium matruchotii	-0.13035495367497463	-0.04394106340461871	0.009217693690744051
Rothia dentocariosa	-0.12499169260930906	-0.07023757069123597	0.02461005855424753
Capnocytophaga gingivalis	-0.12358171705205678	-0.051397401957263715	0.026367205243943564
Neisseria elongata	-0.11976943862114771	-0.05469446430431623	0.015566451330641065
Capnocytophaga sputigena	-0.11969754715634313	-0.032822106546787036	0.034770310601801066
Cardiobacterium hominis	-0.11639274418941847	-0.045288819753805776	0.004847300730340155
Enterococcus faecalis	0.11522674107108347	0.08176424712657844	0.06074286945721695
Lautropia mirabilis	-0.1137408987071495	-0.020974055370154007	0.011431313241442092
Capnocytophaga sp. FDAARGOS_737	-0.10981925006410487	-0.048803426236040684	0.038023868539831585
Capnocytophaga leadbetteri	-0.10726736684571744	-0.04405091905681088	0.04116985350667283
Rothia aeria	-0.10534168864187568	-0.019230396329826677	0.020381879013713255
Neisseria mucosa	-0.10416535682956829	-0.04443346240309404	0.026249579684842553
Enterococcus durans	0.10381265208581064	0.03159835181395719	0.018524732766952073
Aggregatibacter aphrophilus	-0.10234114703096683	-0.04896529488862703	0.033663683333106105
Pseudopropionibacterium propionicum	-0.1001492021660254	0.02712358411351457	-0.011292201356580697
Kingella oralis	-0.09847298355048353	-0.0498704730030659	0.023011072607088772
Neisseria sp. oral taxon 014	-0.09832126837999348	-0.0633664827563719	0.004279823122405871
Aggregatibacter sp. 2125159857	-0.09593678867102065	-0.05180301241891104	0.044806957628056025
Eikenella corrodens	-0.09401454704846947	-0.0037419028939426648	0.01923717088780832
Ottowia sp. oral taxon 894	-0.09330466892782262	-0.017902693049902604	-0.05665530215138198
Neisseria meningitidis	-0.09307732485044388	-0.05246436049877278	0.020104391857741037
Eikenella exigua	-0.09114241411741172	-0.027587924951081196	0.006193797502832576
Enterococcus casseliflavus	0.08993506024800357	0.022291396724500766	0.0031574727628186907
Kingella denitrificans	-0.08986224715817885	-0.04576641110053185	0.0049399467724693755
Capnocytophaga sp. oral taxon 902	-0.08916623390445552	-0.02609509373342011	0.035332626901696376
Actinomyces sp. oral taxon 414	-0.08891480423587522	0.06201375549428306	-0.025542066314724624
Neisseria bacilliformis	-0.08773719986410607	-0.043287578977735074	0.007136906916605466
Campylobacter showae	-0.08700270829410811	0.03144693341660172	0.03300539507695582
Capnocytophaga sp. oral taxon 323	-0.08490979041146343	-0.019575637631082266	0.031166788474480744
Aggregatibacter segnis	-0.08417745581203925	-0.022494830443265338	0.04103957628395369
Neisseria lactamica	-0.08401419881302916	-0.052007687128895114	0.01995887888895526
Actinomyces sp. oral taxon 897	-0.08181598686481595	0.00496463745811755	-0.05919400851761119
Leptotrichia hongkongensis	-0.08160998597645756	-0.0380797644856975	0.03218314992435874
Neisseria sp. KEM232	-0.08137230205737142	-0.045624299660941656	-0.0032794669507222518
Capnocytophaga sp. oral taxon 864	-0.0812966209296448	-0.00299046988395395	0.03605682731183862
Actinomyces naeslundii	-0.08109239029090617	0.04160530690791583	0.012213199649343523
Veillonella atypica	0.08090239623546638	-0.008849747798257373	0.07448696604549776
Leptotrichia hofstadii	-0.08070442610749169	-0.034548456613714085	0.029856540597280157
Actinomyces sp. HMT897	-0.08025473137776445	0.017195442419934676	-0.052586637576815816
Leptotrichia sp. oral taxon 212	-0.07963295610468724	0.015909084756846076	0.05422367378725259
Actinomyces oris	-0.07914430772048922	0.05499311738775178	0.030967791415594043
