# Constructed from biom file
#OTU ID	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR059389	SRR059425	SRR059455	SRR059917	SRR060358	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761692	SRR1761697	SRR1761698	SRR1761705	SRR1761710	SRR1761718	SRR1761721	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR5975923	SRR5975924	SRR5975925	SRR5975926	SRR5975927	SRR5975928	SRR5975929	SRR5975930	SRR5975931	SRR5975932	SRR5975933	SRR5975934	SRR5975936	SRR5975937	SRR6129806	SRR6129807	SRR6129808	SRR6129809	SRR6129810	SRR6129811	SRS011247	SRS011310	SRS012281	SRS013711	SRS013942	SRS013950	SRS014107	SRS014468	SRS014477	SRS014691	SRS014692	SRS015055	SRS015064	SRS015378	SRS015755	SRS019029	SRS019120	SRS019129	SRS019333	SRS021960	SRS022149	SRS023591	SRS045313	SRS047265	SRS051378	SRS052604	SRS052668	SRS056892	SRS058105	SRS063215	SRS063478	SRS064493	SRS075406	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN013.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.F0101	SYN015.G0101	SYN015.H0101	SYN015.I0101	SYN016.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN017.F0101	SYN017.G0101	SYN018.C0101	SYN018.H0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Klebsiella pneumoniae	19.0	11.0	10.0	5.0	15.0	8.0	49513.0	114.0	12.0	1328.0	1207.0	2240.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	579.0	8561.0	616810.0	641044.0	702727.0	717046.0	19142.0	119.0	813.0	151.0	132.0	132.0	558.0	1308.0	242.0	4918.0	3688.0	43874.0	1381.0	338.0	474.0	198.0	98379.0	28936.0	4233.0	4305.0	3957.0	123992.0	162170.0	142822.0	147784.0	118305.0	153785.0	128201.0	227502.0	148157.0	147017.0	127540.0	186879.0	44532.0	73330.0	231096.0	158843.0	69514.0	113932.0	271250.0	317907.0	0.0	0.0	5.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	86.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	40.0	63.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	126.0	0.0	0.0	110.0
Klebsiella grimontii	2.0	1.0	1.0	6.0	36.0	1.0	6.0	337.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	5405.0	0.0	399.0	386.0	342.0	52.0	81.0	57.0	46.0	56.0	55.0	49.0	82.0	67.0	59.0	50.0	102.0	17.0	29.0	2261.0	219.0	936.0	737.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella variicola	1.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156651.0	161679.0	179765.0	182865.0	27017.0	0.0	0.0	0.0	0.0	0.0	259.0	703.0	320.0	1047.0	3436.0	702.0	875.0	0.0	175.0	0.0	17951.0	130130.0	22482.0	23586.0	21734.0	356.0	476.0	451.0	481.0	441.0	613.0	389.0	740.0	552.0	586.0	434.0	614.0	116.0	264.0	6206.0	8022.0	809.0	2971.0	6014.0	9813.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella quasipneumoniae	1.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	637.0	0.0	1206.0	1274.0	1359.0	1287.0	1967.0	0.0	0.0	0.0	0.0	0.0	2155.0	316.0	184.0	16434.0	14589.0	770.0	253.0	151.0	238.0	0.0	810.0	938.0	252.0	271.0	256.0	1475.0	1760.0	1680.0	1629.0	1259.0	1616.0	1512.0	2612.0	1517.0	1588.0	1515.0	2111.0	315.0	600.0	936.0	510.0	203.0	842.0	353.0	651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Escherichia coli	23.0	16.0	8.0	26.0	66.0	20.0	103.0	178.0	16.0	1906.0	1615.0	2592.0	431.0	521.0	458.0	364.0	638.0	347.0	406.0	3172.0	170.0	317.0	266.0	117143.0	11591.0	12162.0	13196.0	13177.0	2920.0	4593.0	465.0	173.0	471.0	9710.0	8473.0	370.0	2846.0	1923.0	1780.0	351093.0	2569.0	1899.0	9493.0	370.0	4660.0	4810.0	1066.0	971.0	951.0	4967.0	7028.0	5694.0	7121.0	6355.0	9589.0	4930.0	10250.0	8706.0	9649.0	6373.0	9030.0	2057.0	3781.0	1782366.0	1186572.0	524056.0	749358.0	3367794.0	6095792.0	206.0	117.0	15.0	169.0	119.0	138.0	167.0	33.0	66.0	126.0	68.0	193.0	0.0	165.0	162.0	209.0	122.0	30257.0	395.0	113.0	132.0	17.0	146.0	79.0	277.0	87.0	177.0	301.0	155.0	0.0	61.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	94.0	0.0	84.0	0.0	0.0	0.0	0.0	109.0	0.0	94.0	0.0	0.0	0.0	104.0	95.0	0.0	0.0
Citrobacter freundii	1.0	2.0	2.0	0.0	1.0	3.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	318.0	351.0	333.0	3199.0	192.0	0.0	0.0	95.0	0.0	330.0	116.0	0.0	370.0	369.0	1313.0	227.0	401.0	281.0	52.0	1407.0	0.0	5610.0	5141.0	4642.0	286802.0	357020.0	346933.0	332844.0	195999.0	263817.0	272518.0	466273.0	221977.0	241026.0	286832.0	427918.0	25942.0	134534.0	2026.0	12493.0	877.0	2543.0	17894.0	9674.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	48.0	116.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrobacter braakii	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	945.0	1124.0	1182.0	1103.0	643.0	871.0	936.0	1535.0	693.0	805.0	1002.0	1476.0	90.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrobacter werkmanii	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	239.0	293.0	282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	373.0	162.0	0.0	163.0	0.0	0.0	0.0	0.0	2108.0	2722.0	2819.0	2718.0	1503.0	2047.0	2152.0	3695.0	1814.0	2008.0	2366.0	3407.0	236.0	1028.0	0.0	0.0	380.0	0.0	132.0	484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrobacter sp. RHB25-C09	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	0.0	421.0	557.0	565.0	481.0	275.0	386.0	407.0	716.0	341.0	367.0	442.0	646.0	42.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrobacter koseri	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	122.0	0.0	179.0	0.0	0.0	0.0	0.0	289.0	336.0	324.0	289.0	206.0	222.0	256.0	418.0	192.0	218.0	254.0	396.0	19.0	132.0	347.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
