species	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN017.A0101	SYN017.B0101	SYN018.C0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN015.I0101	SYN018.I0101	SYN019.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN028.I0101
Burkholderia pyrrocinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia multivorans	0	0	0	0	0	0	0	0	0	75	0	0	0	96	0	158	0	95	111	125
Burkholderia cenocepacia	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	134	0	0	134	0
Burkholderia stabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	85	0	73	0	0
Burkholderia ubonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia stagnalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia territorii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0
Burkholderia cepacia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0
Burkholderia latens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia anthina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. DHOD12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. LA-2-3-30-S1-D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. Bp7605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. IDO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia pseudomallei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia oklahomensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. BDU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia glumae	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia gladioli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia fungorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sp. 7MH5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sp. PGU19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia acidisoli	0	0	0	0	0	0	0	0	0	0	0	0	123	108	0	159	345	155	202	0
Paraburkholderia phytofirmans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia acidophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia acidiphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia terricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraburkholderia aromaticivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	102	0
Paraburkholderia megapolitana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia mirabilis	47129	4690	94462	0	0	0	0	0	205	168	0	0	462	146	0	124	0	0	120	187
Ralstonia insidiosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia solanacearum	0	0	0	0	0	0	0	0	0	107	0	0	90	194	0	93	0	160	0	218
Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus pauculus	0	0	0	0	78	37	0	0	0	0	0	0	0	0	0	137	0	0	127	0
Cupriavidus oxalaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	102
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoraea pnomenusa	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0
Variovorax sp. RA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax sp. HW608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax boronicumulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. KKS102	69	0	0	0	0	37	0	0	225	0	0	0	0	0	0	92	0	0	0	0
