species	env	lfc	se	q_value	upper	lower	abn
Pseudomonas stutzeri	medium	-2.0092884510260625	0.569420584710476	0.001651940800863531	-1.4398678663155864	-2.5787090357365385	model_calculus
Pseudomonas stutzeri	saliva	-4.824220900649337	0.48787355946620953	1.8513224112133105e-22	-4.336347341183127	-5.312094460115547	model_calculus
Pseudomonas aeruginosa	medium	0.09000337804347924	0.9216180056205283	0.9436504627457485	1.0116213836640076	-0.8316146275770491	medium
Pseudomonas aeruginosa	saliva	-4.405845138111191	0.5875440585866639	1.7312489575180212e-13	-3.8183010795245274	-4.993389196697855	model_calculus
Haemophilus haemolyticus	medium	1.947932224637655	1.017325897877007	0.1045147443092515	2.965258122514662	0.9306063267606479	medium
Haemophilus haemolyticus	saliva	3.3899794231658325	0.5566721254105683	2.4728707477583337e-9	3.946651548576401	2.833307297755264	saliva
Haemophilus influenzae	medium	0.5223900943961459	1.1385425030311036	0.7749467228516272	1.6609325974272495	-0.6161524086349577	medium
Haemophilus influenzae	saliva	2.53548119364559	0.7928872073165385	0.0019344421706788963	3.3283684009621286	1.7425939863290516	saliva
Haemophilus parainfluenzae	medium	0.6684135323256996	0.9038765373157885	0.6057484149482155	1.572290069641488	-0.235463004990089	medium
Haemophilus parainfluenzae	saliva	1.7252568881504313	0.38128052965134746	9.84680971545453e-6	2.106537417801779	1.3439763584990838	saliva
Haemophilus sp. oral taxon 036	medium	2.3022567727848138	0.7105846843860507	0.004166560762943321	3.0128414571708646	1.591672088398763	medium
Haemophilus sp. oral taxon 036	saliva	3.9775726727079803	0.21808961248502784	2.6560005417856076e-73	4.195662285193008	3.7594830602229523	saliva
Pasteurella multocida	medium	-0.003168631359620866	0.7283709528044343	0.9983545998939691	0.7252023214448134	-0.7315395841640552	model_calculus
Pasteurella multocida	saliva	-2.902830867021617	0.5823397047355109	1.1442477647700862e-6	-2.320491162286106	-3.485170571757128	model_calculus
Glaesserella parasuis	medium	1.968351183849872	0.711851430411149	0.014610151830230579	2.680202614261021	1.256499753438723	medium
Glaesserella parasuis	saliva	-0.7566385786084504	1.3754098122539593	0.6210538676201388	0.6187712336455089	-2.1320483908624097	model_calculus
Aggregatibacter aphrophilus	medium	2.627655655985692	1.255685481009861	0.07195095913574265	3.883341136995553	1.3719701749758308	medium
Aggregatibacter aphrophilus	saliva	6.100537367716569	0.6549476708718159	4.3992888038992266e-20	6.755485038588385	5.4455896968447535	saliva
Histophilus somni	medium	-1.7485347319516218	0.7043962458648259	0.0290803503942064	-1.044138486086796	-2.4529309778164476	model_calculus
Histophilus somni	saliva	-4.573231028531289	0.6356140524966245	1.5819605630824957e-12	-3.937616976034665	-5.208845081027913	model_calculus
Lautropia mirabilis	medium	-1.2117798483028595	0.7424274719281719	0.18064688284612268	-0.4693523763746875	-1.9542073202310313	model_calculus
Lautropia mirabilis	saliva	6.030199443363507	0.8839967762187888	2.0999671482502315e-11	6.914196219582296	5.146202667144719	saliva
Variovorax paradoxus	medium	1.3269117831507813	0.5079068137203413	0.020814311967747176	1.8348185968711226	0.81900496943044	medium
Variovorax paradoxus	saliva	-0.11628938523147658	1.040087824171196	0.9214472102195064	0.9237984389397194	-1.1563772094026725	model_calculus
Diaphorobacter aerolatus	medium	-1.0865032545595859	0.5041952529346357	0.06328760403674384	-0.5823080016249501	-1.5906985074942215	model_calculus
Diaphorobacter aerolatus	saliva	-3.535079539569897	0.5169336116514949	1.8898218146721988e-11	-3.018145927918402	-4.0520131512213915	model_calculus
Ottowia sp. oral taxon 894	medium	2.0319549103317405	0.5395183189182563	7.384210828539491e-4	2.571473229249997	1.492436591413484	medium
Ottowia sp. oral taxon 894	saliva	5.35026443566066	0.5822881799924752	1.4042449376560513e-19	5.932552615653135	4.767976255668184	saliva
Alcaligenes faecalis	medium	0.6870082915387393	0.6829327376193064	0.4536055161339115	1.3699410291580456	0.004075553919432928	medium
Alcaligenes faecalis	saliva	-2.5735376187672974	0.5162971777703425	1.1442477647700862e-6	-2.0572404409969547	-3.08983479653764	model_calculus
