#SampleID	Env	SourceSink
SRR6431719	indoor_air	source
SRR6431720	indoor_air	source
SRR6431721	indoor_air	source
SRR6431722	indoor_air	source
SRR6431723	indoor_air	source
SRR6431724	indoor_air	source
SRR6431725	indoor_air	source
SRR6431726	indoor_air	source
SRR6431727	indoor_air	source
SRR6431728	indoor_air	source
LIB030.A0117	library control	sink
SYN001.A0101	saliva	sink
SYN002.A0101	saliva	sink
SYN003.A0101	saliva	sink
SYN014.A0101	medium	sink
SYN014.C0101	medium	sink
SYN015.B0101	medium	sink
SYN015.D0101	medium	sink
SYN015.E0101	medium	sink
SYN015.F0101	medium	sink
SYN015.G0101	medium	sink
SYN015.H0101	medium	sink
SYN017.A0101	medium	sink
SYN017.B0101	medium	sink
SYN017.D0101	medium	sink
SYN017.E0101	medium	sink
SYN017.F0101	medium	sink
SYN017.G0101	medium	sink
SYN018.C0101	medium	sink
SYN018.H0101	medium	sink
SYN005.I0101	calculus	sink
SYN006.I0101	calculus	sink
SYN008.I0101	calculus	sink
SYN009.I0101	calculus	sink
SYN012.I0101	calculus	sink
SYN013.I0101	calculus	sink
SYN015.I0101	calculus	sink
SYN016.I0101	calculus	sink
SYN018.I0101	calculus	sink
SYN019.I0101	calculus	sink
SYN021.I0101	calculus	sink
SYN022.I0101	calculus	sink
SYN023.I0101	calculus	sink
SYN025.I0101	calculus	sink
SYN026.I0101	calculus	sink
SYN028.I0101	calculus	sink
SRS014477	plaque	source
SRS063215	plaque	source
SRS019129	plaque	source
SRS019120	saliva	source
SRS014468	saliva	source
SRS015055	saliva	source
SRS013950	plaque	source
SRS014692	saliva	source
SRS015064	plaque	source
SRS019029	plaque	source
SRS014107	plaque	source
SRS013942	saliva	source
SRS014691	plaque	source
SRS021960	plaque	source
SRS045313	plaque	source
SRS047265	plaque	source
SRS051378	plaque	source
SRS015755	plaque	source
SRS015378	plaque	source
SRS022149	plaque	source
SRS064493	plaque	source
SRS052604	plaque	source
SRS019333	plaque	source
SRR1631060	skin	source
SRR1631061	skin	source
SRR1631063	skin	source
SRR1631064	skin	source
SRR1633008	skin	source
SRR3184100	skin	source
SRR3184876	skin	source
SRR3189411	skin	source
SRR3189416	skin	source
SRR3189418	skin	source
SRR059389	stool	source
SRR059425	stool	source
SRR059455	stool	source
SRR059917	stool	source
SRR060358	stool	source
SRR1761677	stool	source
SRR1761682	stool	source
SRR1761688	stool	source
SRR1761692	stool	source
SRR1761697	stool	source
SRR1761698	stool	source
SRR1761705	stool	source
SRR1761710	stool	source
SRR1761718	stool	source
SRR1761721	stool	source
SRR1929408	stool	source
SRR1930121	stool	source
SRR1930123	stool	source
SRR1930141	stool	source
SRR1930145	stool	source
JAE006.A0101	modern calculus	source
JAE007.A0101	modern calculus	source
JAE008.A0101	modern calculus	source
JAE009.A0101	modern calculus	source
JAE010.A0101	modern calculus	source
JAE012.A0101	modern calculus	source
JAE013.A0101	modern calculus	source
JAE014.A0101	modern calculus	source
JAE015.A0101	modern calculus	source
JAE016.A0101	modern calculus	source
