SampleID	source	taxon	count
SYN001.A0101	indoor_air	Streptococcus thermophilus	18
SYN001.A0101	indoor_air	Rothia mucilaginosa	76
SYN001.A0101	indoor_air	Homo sapiens	1
SYN001.A0101	indoor_air	Enterococcus thailandicus	1
SYN001.A0101	indoor_air	Streptococcus sp. FDAARGOS_192	1
SYN001.A0101	modern calculus	Lautropia mirabilis	66
SYN001.A0101	modern calculus	Neisseria meningitidis	4
SYN001.A0101	modern calculus	Gemella morbillorum	1
SYN001.A0101	modern calculus	Streptococcus cristatus	3
SYN001.A0101	modern calculus	Streptococcus gordonii	2
SYN001.A0101	modern calculus	Rothia aeria	16
SYN001.A0101	modern calculus	Rothia dentocariosa	14
SYN001.A0101	modern calculus	Rothia mucilaginosa	19
SYN001.A0101	modern calculus	Pseudopropionibacterium propionicum	66
SYN001.A0101	modern calculus	Corynebacterium matruchotii	3
SYN001.A0101	modern calculus	Actinomyces sp. oral taxon 414	10
SYN001.A0101	modern calculus	Actinomyces sp. HMT 175	4
SYN001.A0101	modern calculus	Actinomyces weissii	10
SYN001.A0101	modern calculus	Actinomyces oris	2
SYN001.A0101	modern calculus	Schaalia odontolytica	34
SYN001.A0101	modern calculus	Capnocytophaga sputigena	4
SYN001.A0101	modern calculus	Candidatus Nanosynbacter lyticus	1
SYN001.A0101	modern calculus	Streptococcus oralis	11
SYN001.A0101	modern calculus	Streptococcus sanguinis	21
SYN001.A0101	modern calculus	Abiotrophia defectiva	4
SYN001.A0101	modern calculus	Selenomonas sp. oral taxon 126	1
SYN001.A0101	modern calculus	Neisseria elongata	3
SYN001.A0101	modern calculus	Treponema denticola	1
SYN001.A0101	modern calculus	Actinomyces sp. oral taxon 169	4
SYN001.A0101	modern calculus	Treponema socranskii	6
SYN001.A0101	modern calculus	Actinomyces sp. oral taxon 171	1
SYN001.A0101	modern calculus	Eikenella corrodens	16
SYN001.A0101	modern calculus	Kingella denitrificans	10
SYN001.A0101	modern calculus	Neisseria sicca	3
SYN001.A0101	modern calculus	Neisseria subflava	3
SYN001.A0101	modern calculus	Neisseria mucosa	6
SYN001.A0101	modern calculus	Capnocytophaga sp. oral taxon 878	19
SYN001.A0101	modern calculus	Actinomyces sp. HMT897	9
SYN001.A0101	modern calculus	Capnocytophaga gingivalis	2
SYN001.A0101	modern calculus	Streptococcus sp. 1643	1
SYN001.A0101	plaque	Haemophilus parainfluenzae	2
SYN001.A0101	plaque	Lautropia mirabilis	6
SYN001.A0101	plaque	Neisseria meningitidis	1
SYN001.A0101	plaque	Streptococcus cristatus	5
SYN001.A0101	plaque	Rothia aeria	9
SYN001.A0101	plaque	Rothia dentocariosa	104
SYN001.A0101	plaque	Rothia mucilaginosa	18
SYN001.A0101	plaque	Pseudopropionibacterium propionicum	13
SYN001.A0101	plaque	Corynebacterium matruchotii	7
SYN001.A0101	plaque	Actinomyces sp. HMT 175	13
SYN001.A0101	plaque	Actinomyces oris	5
SYN001.A0101	plaque	Schaalia odontolytica	4
SYN001.A0101	plaque	Capnocytophaga sputigena	4
SYN001.A0101	plaque	Prevotella intermedia	3
SYN001.A0101	plaque	Prevotella fusca	1
SYN001.A0101	plaque	Prevotella oris	2
SYN001.A0101	plaque	Actinomyces naeslundii	2
SYN001.A0101	plaque	Streptococcus oralis	17
SYN001.A0101	plaque	Streptococcus sanguinis	11
SYN001.A0101	plaque	Enterococcus thailandicus	2
SYN001.A0101	plaque	Neisseria sp. oral taxon 014	4
SYN001.A0101	plaque	Actinomyces sp. oral taxon 169	16
SYN001.A0101	plaque	Treponema socranskii	4
SYN001.A0101	plaque	Actinomyces sp. oral taxon 171	2
SYN001.A0101	plaque	Eikenella corrodens	4
SYN001.A0101	plaque	Neisseria mucosa	2
SYN001.A0101	plaque	Veillonella parvula	1
SYN001.A0101	plaque	Streptococcus australis	18
SYN001.A0101	plaque	Capnocytophaga sp. oral taxon 878	1
SYN001.A0101	plaque	Actinomyces sp. HMT897	1
SYN001.A0101	plaque	Streptococcus pneumoniae	1
SYN001.A0101	plaque	Capnocytophaga gingivalis	2
SYN001.A0101	plaque	Streptococcus sp. 1643	9
SYN001.A0101	plaque	Streptococcus sp. HSISM1	2
SYN001.A0101	saliva	Haemophilus parainfluenzae	38
SYN001.A0101	saliva	Lautropia mirabilis	27
SYN001.A0101	saliva	Neisseria meningitidis	25
SYN001.A0101	saliva	Campylobacter concisus	10
SYN001.A0101	saliva	Gemella morbillorum	9
SYN001.A0101	saliva	Gemella sanguinis	120
SYN001.A0101	saliva	Streptococcus equinus	1
SYN001.A0101	saliva	Streptococcus sp. oral taxon 431	160
SYN001.A0101	saliva	Streptococcus iniae	1
SYN001.A0101	saliva	Streptococcus salivarius	837
SYN001.A0101	saliva	Streptococcus acidominimus	3
SYN001.A0101	saliva	Streptococcus merionis	1
SYN001.A0101	saliva	Streptococcus pantholopis	8
SYN001.A0101	saliva	Streptococcus suis	10
SYN001.A0101	saliva	Streptococcus cristatus	102
SYN001.A0101	saliva	Streptococcus gwangjuense	10
SYN001.A0101	saliva	Streptococcus gordonii	8
SYN001.A0101	saliva	Streptococcus mitis	110
SYN001.A0101	saliva	Veillonella nakazawae	40
SYN001.A0101	saliva	Rothia aeria	55
SYN001.A0101	saliva	Rothia dentocariosa	22
SYN001.A0101	saliva	Rothia mucilaginosa	4545
SYN001.A0101	saliva	Corynebacterium bovis	2
SYN001.A0101	saliva	Actinomyces oris	3
SYN001.A0101	saliva	Actinomyces pacaensis	20
