SampleID	saliva	sediment	skin	stool	subgingival_plaque	supragingival_plaque	Unknown
SYN002.A0101	0.9401100000000001	0.0004700000000000001	0.0007199999999999999	0.00041000000000000005	0.0039900000000000005	0.04805000000000001	0.006250000000000001
SYN028.I0101	0.30978000000000006	0.0039	0.0004400000000000001	0.00339	0.52117	0.0012000000000000001	0.16012
SYN014.A0101	0.14406000000000002	8e-05	3.0000000000000004e-05	1e-05	0.0011099999999999999	0.00122	0.8534900000000001
SYN015.G0101	0.013930000000000001	0.001	7.000000000000001e-05	2e-05	0.00136	0.00032	0.9833000000000001
SYN021.I0101	0.13554000000000002	0.00051	5.000000000000001e-05	0.00019000000000000004	0.00273	0.00109	0.85989
SYN017.D0101	0.11633	0.00026000000000000003	0.00015000000000000001	0.0038199999999999996	0.02505	0.0007199999999999999	0.8536699999999999
SYN018.H0101	0.0035699999999999994	0.00099	0.00016	3.0000000000000004e-05	0.0016099999999999999	0.0006100000000000001	0.9930299999999999
SYN008.I0101	0.44277999999999995	0.0012099999999999997	0.00013000000000000004	0.00030000000000000003	0.0028899999999999998	0.0006100000000000001	0.55208
SYN015.I0101	0.26500999999999997	0.00013000000000000002	0.00023	0.00451	0.39335000000000003	0.0008399999999999999	0.33592999999999995
SYN003.A0101	0.8988400000000001	0.00043	0.0007800000000000001	0.00093	0.00782	0.08296999999999999	0.00823
SYN017.G0101	0.010740000000000001	0.00101	0.00010999999999999999	7.000000000000001e-05	0.0034000000000000002	0.00104	0.98363
SYN014.C0101	0.07615000000000001	0.00015000000000000001	8.000000000000002e-05	0.00025	0.0005900000000000001	0.00021999999999999998	0.92256
SYN018.I0101	0.04638	0.00030000000000000003	0.00011	9e-05	0.00832	0.0012000000000000001	0.9436
SYN015.B0101	0.5510800000000001	0.00012000000000000003	0.00017	0.00031000000000000005	0.00041999999999999996	0.00032	0.44758000000000003
SYN017.E0101	0.14540000000000003	0.00022	0.00014000000000000001	0.00668	0.07277	0.0007199999999999999	0.7740699999999998
SYN006.I0101	0.08417	0.00059	0.00023999999999999998	0.00065	0.0063	0.0009299999999999999	0.9071199999999999
SYN019.I0101	0.6201699999999999	8.000000000000002e-05	0.00011	0.0017300000000000002	0.01686	0.00081	0.36024
SYN005.I0101	0.15889999999999999	0.00116	8.999999999999999e-05	0.00204	0.33163	0.00142	0.5047599999999999
SYN018.C0101	0.5780500000000001	0.00019000000000000004	0.00023	0.00044	0.013070000000000002	0.00235	0.40567000000000003
SYN015.H0101	0.01484	0.0012399999999999998	0.00017999999999999998	6.000000000000001e-05	0.00155	0.0005200000000000001	0.9816099999999999
SYN013.I0101	0.04073	0.00038	0.00022	0.0003200000000000001	0.00143	0.0005300000000000001	0.9563899999999999
SYN015.D0101	0.59167	8e-05	2e-05	0.006659999999999999	0.00119	0.00028	0.4001
SYN017.F0101	0.04148	0.0008699999999999999	0.0001	0.0006500000000000001	0.0075200000000000015	0.0008200000000000001	0.94856
SYN023.I0101	0.21528	0.00166	0.00030000000000000003	0.0038000000000000004	0.50002	0.00086	0.27808
SYN016.I0101	0.10945999999999997	0.00033	0.00026	0.00039	0.00253	0.0006399999999999999	0.8863899999999999
SYN009.I0101	0.29561	0.0008400000000000001	0.00030000000000000003	0.00219	0.24855999999999998	0.0016499999999999998	0.4508500000000001
SYN001.A0101	0.58055	0.00032999999999999994	0.0003	0.00014000000000000001	0.00737	0.03896	0.37235
SYN025.I0101	0.14989000000000002	0.0054	0.00022	0.0024699999999999995	0.6241	0.0009400000000000002	0.21698
SYN012.I0101	0.20981999999999998	0.00032	0.00027	0.0020299999999999997	0.1749	0.00086	0.6117999999999999
SYN015.E0101	0.43201	0.00014000000000000001	0.00028	0.003940000000000001	0.030619999999999998	0.0006900000000000001	0.53232
SYN026.I0101	0.29876	0.0006000000000000001	0.00018	0.00022999999999999995	0.09848999999999998	0.0009699999999999997	0.60077
SYN015.F0101	0.17706	0.00075	0.00012000000000000002	0.0019600000000000004	0.008459999999999999	0.00076	0.81089
SYN017.B0101	0.9582700000000001	0.00016000000000000004	0.00018	0.00043	0.00583	0.0025900000000000003	0.03254
SYN022.I0101	0.40984	0.00126	0.00018	0.0015700000000000002	0.38748	0.00138	0.19829000000000002
SYN017.A0101	0.9781000000000001	0.00037	0.00018	0.00043	0.0024200000000000003	0.00315	0.015350000000000003
