SampleID	saliva	sediment	skin	stool	subgingival_plaque	supragingival_plaque	Unknown
SYN002.A0101	0.1142	0.0025	0.0010000000000000002	0.0	0.024900000000000002	0.1024	0.7550000000000001
SYN028.I0101	0.0676	0.0054	0.0002	0.0013000000000000002	0.012199999999999999	0.0034000000000000002	0.9099
SYN014.A0101	0.08099999999999999	0.0005	0.0005	0.0	0.0040999999999999995	0.0025000000000000005	0.9114000000000001
SYN015.G0101	0.0094	0.0029000000000000002	0.0001	0.0	0.004000000000000001	0.0007	0.9829000000000001
SYN021.I0101	0.0193	0.0029000000000000002	0.0006000000000000001	0.0001	0.0033	0.0015	0.9723
SYN017.D0101	0.0247	0.0027	0.0001	0.0025000000000000005	0.0070999999999999995	0.0021	0.9607999999999999
SYN018.H0101	0.0036000000000000003	0.0031	0.0	0.0	0.0025	0.0004	0.9904
SYN008.I0101	0.012399999999999998	0.005300000000000001	0.0001	0.0004	0.0063	0.0024000000000000002	0.9731
SYN015.I0101	0.0435	0.0021999999999999997	0.0006000000000000001	0.0039	0.013900000000000001	0.0043	0.9316000000000001
SYN003.A0101	0.18	0.0027	0.0015	0.0001	0.028699999999999996	0.1197	0.6673
SYN017.G0101	0.0050999999999999995	0.0060999999999999995	0.0002	0.0002	0.004399999999999999	0.0009000000000000001	0.9831000000000001
SYN014.C0101	0.021899999999999996	0.0019000000000000002	0.0002	0.0002	0.0038000000000000004	0.0011000000000000003	0.9709
SYN018.I0101	0.0157	0.0031	0.0002	0.0	0.0070999999999999995	0.0019000000000000002	0.9719999999999999
SYN015.B0101	0.45620000000000005	0.0006000000000000001	0.0006000000000000001	0.0011000000000000003	0.0054	0.0036000000000000003	0.5325
SYN017.E0101	0.0353	0.0024000000000000002	0.00030000000000000003	0.0044	0.019300000000000005	0.0026999999999999997	0.9356
SYN006.I0101	0.030000000000000006	0.004399999999999999	0.0002	0.0002	0.007000000000000001	0.0018000000000000002	0.9563999999999998
SYN019.I0101	0.06300000000000001	0.0013000000000000004	0.00030000000000000003	0.0018000000000000006	0.007300000000000001	0.0019000000000000002	0.9244
SYN005.I0101	0.035199999999999995	0.0026000000000000003	0.0001	0.0021	0.008700000000000001	0.0056	0.9456999999999999
SYN018.C0101	0.11800000000000002	0.0006000000000000001	0.0001	0.0009000000000000001	0.0158	0.0082	0.8564
SYN015.H0101	0.008100000000000001	0.006	0.0001	0.0001	0.0036	0.0007	0.9814
SYN013.I0101	0.005	0.0026999999999999997	0.0001	0.0007	0.0038000000000000004	0.0004	0.9873
SYN015.D0101	0.0624	0.0007	0.0005	0.004	0.0121	0.0021000000000000003	0.9182
SYN017.F0101	0.0175	0.0046	0.00030000000000000003	0.0015	0.006500000000000001	0.0013	0.9682999999999999
SYN023.I0101	0.044599999999999994	0.007400000000000001	0.00030000000000000003	0.0025	0.022	0.004699999999999999	0.9185000000000001
SYN016.I0101	0.0158	0.004100000000000001	0.00030000000000000003	0.0001	0.0031000000000000003	0.0009000000000000001	0.9757
SYN009.I0101	0.030000000000000006	0.0026999999999999997	0.00030000000000000003	0.0016	0.0082	0.0016	0.9556000000000001
SYN001.A0101	0.1014	0.0048000000000000004	0.001	0.0001	0.016999999999999998	0.0506	0.8251
SYN025.I0101	0.06200000000000001	0.009399999999999999	0.0002	0.0004	0.014100000000000001	0.0045	0.9094000000000001
SYN012.I0101	0.042899999999999994	0.002300000000000001	0.0006000000000000001	0.0007	0.011	0.0046	0.9379
SYN015.E0101	0.24490000000000003	0.0027	0.0006000000000000001	0.0047	0.0343	0.0049	0.7079
SYN026.I0101	0.0354	0.0005	0.0005	0.00030000000000000003	0.009399999999999999	0.0024000000000000002	0.9515
SYN015.F0101	0.04429999999999999	0.0048	0.0002	0.0013000000000000002	0.0056	0.0017000000000000001	0.9420999999999999
SYN017.B0101	0.1719	0.0008	0.0007	0.0001	0.0056	0.0086	0.8122999999999999
SYN022.I0101	0.06239999999999999	0.0044	0.00030000000000000003	0.0022	0.0179	0.0066	0.9061999999999999
SYN017.A0101	0.31660000000000005	0.001	0.0009000000000000001	0.0001	0.0118	0.0105	0.6590999999999999
