species	PC1	PC2	PC3
Corynebacterium matruchotii	-0.12184500069353801	-0.04324711312159153	0.0222525397631604
Rothia dentocariosa	-0.11519373023762042	-0.06554432625050124	0.03071375689719302
Capnocytophaga gingivalis	-0.11464135181960669	-0.04924077547807446	0.033724162839574655
Neisseria elongata	-0.11154936136450933	-0.04938275821446497	0.02445855267239248
Capnocytophaga sputigena	-0.11076744131946047	-0.03468760745236761	0.0435428732567312
Cardiobacterium hominis	-0.10974417012125261	-0.04185340649007851	0.015529833789030747
Lautropia mirabilis	-0.10613083607965722	-0.018738756167454802	0.026266673593644072
Capnocytophaga sp. FDAARGOS_737	-0.10219714654379948	-0.04849415589668253	0.04102402475650124
Enterococcus faecalis	0.09986574539071356	0.06766425397139927	0.04853648900506531
Capnocytophaga leadbetteri	-0.09970963681408224	-0.044739757094470124	0.04427327297749703
Rothia aeria	-0.09778080080631735	-0.01986103743860237	0.0343266407577662
Neisseria mucosa	-0.09662853021612897	-0.040358703441347434	0.03324608448436649
Aggregatibacter aphrophilus	-0.09585128063926204	-0.04555923607598503	0.03580428317945954
Pseudopropionibacterium propionicum	-0.09553871633144528	0.02276922076905716	0.01368546043779478
Neisseria sp. oral taxon 014	-0.09311862365989958	-0.05475326112233519	0.009490501995317457
Ottowia sp. oral taxon 894	-0.09274514971404832	-0.008283504116600466	-0.03577528147139163
Kingella oralis	-0.09217802426244977	-0.04801138297605535	0.02806004082914389
Aggregatibacter sp. 2125159857	-0.08977811953999895	-0.0505214420321776	0.04303560882872743
Eikenella corrodens	-0.08847091277641074	-0.005841854787111787	0.0325897163760245
Neisseria meningitidis	-0.08765428908940083	-0.047199722366771474	0.023740122466024364
Eikenella exigua	-0.08719804111211384	-0.025881723577062185	0.015798118976389375
Enterococcus durans	0.0868236623330092	0.029625668003729906	0.00516143480165632
Actinomyces sp. oral taxon 414	-0.08669967809973299	0.053368077001709556	0.005382959977227815
Kingella denitrificans	-0.08590284269530626	-0.03995008133173475	0.010886570014692716
Capnocytophaga sp. oral taxon 902	-0.08380275450501774	-0.028258838855481572	0.040451309032549974
Neisseria bacilliformis	-0.08353982560557949	-0.038857563893162264	0.014149927977813285
Actinomyces sp. oral taxon 897	-0.0826767864315617	0.010450401391118068	-0.03528916150046302
Campylobacter showae	-0.08175223453304951	0.022122706596813563	0.04876387113991465
Actinomyces sp. HMT897	-0.0806036381891583	0.020090326715092637	-0.027175451468431654
Capnocytophaga sp. oral taxon 323	-0.08031995782637949	-0.022526237246046115	0.03741809236005256
Neisseria lactamica	-0.07983275925700872	-0.047074886249619585	0.02182164873414091
Aggregatibacter segnis	-0.07932259515264004	-0.023372408175280267	0.04390937921129179
Neisseria sp. KEM232	-0.07856227870215751	-0.038621396781913155	0.0036576757519181297
Leptotrichia hongkongensis	-0.07759316803254272	-0.038071231388323766	0.03315279505894909
Leptotrichia hofstadii	-0.07712491286496075	-0.03465380258368694	0.031230366798684458
Capnocytophaga sp. oral taxon 864	-0.07671204577849237	-0.008393748204192438	0.04423978780290476
Actinomyces naeslundii	-0.07658212119177205	0.03288981395065221	0.035031729409620266
Campylobacter rectus	-0.07450882096021688	0.017598487661097718	0.04856573770376477
Leptotrichia sp. oral taxon 212	-0.07366792138997486	0.0061436476115681446	0.06339979517944526
Enterococcus casseliflavus	0.07361259399077433	0.022403133571419584	-0.00733872842667945
Leptotrichia buccalis	-0.073549025767346607	-0.017984125314368937	0.036388075472725726
Actinomyces oris	-0.07334402489839387	0.04147712715580641	0.053584414636187336
Tannerella sp. oral taxon HOT-286	-0.073112640657716	0.02383703914529309	0.05947327416822593
Capnocytophaga ochracea	-0.07307414270637802	-0.008984838563015636	0.04100720061842051
Actinomyces sp. oral taxon 171	-0.0722639729351479	0.03526330530668019	0.04203617045424643
Candidatus Nanosynbacter lyticus	-0.07132070870131754	0.015210440146056159	0.04340372637895464
Haemophilus haemolyticus	-0.07110411944153691	-0.05919801914845059	0.06904582428706758
Actinomyces viscosus	-0.06975218584798051	0.03892786886331826	0.030320809379078797
Veillonella atypica	0.06957266416573438	-0.015315578276865709	0.0496281443396969
Aggregatibacter actinomycetemcomitans	-0.06790586212459025	-0.041308973416451775	0.021882096321114212
Actinomyces sp. ZJ750	-0.06729216381148151	0.03861714604618919	-0.012339123798456274
Treponema socranskii	-0.06711811364135747	0.060795895036770596	0.049352503569149254
Campylobacter gracilis	-0.06695515518985547	0.039972804412811515	0.04822732665674358
Treponema medium	-0.06636960050767601	0.022971532673838915	0.041813563991250094
Haemophilus influenzae	-0.06625437804705411	-0.033336272171703346	0.062472816990604585
Neisseria polysaccharea	-0.06618595886243513	-0.04777798060649603	0.016760338794410422
Treponema denticola	-0.06605905721872637	0.03704892334410949	0.04813820302796261
Neisseria subflava	-0.06584752293062211	-0.0162492242842825	0.043426483299200264
Capnocytophaga haemolytica	-0.06575292504373086	-0.020226294215626262	0.02846143396416282
Tannerella forsythia	-0.06533660079652985	0.058356688957711546	0.05755472409898321
Fretibacterium fastidiosum	-0.0651444589404768	0.06608938851856562	0.017031068179510916
Neisseria chenwenguii	-0.06490466872880665	-0.03577615289182389	-0.0011126050593698808
Haemophilus sp. oral taxon 036	-0.06385365948435805	-0.06977926856326448	0.059668892604440665
Actinomyces slackii	-0.06315891077316162	0.03860951232290874	-0.0019351754111735005
Leptotrichia wadei	-0.06296584068831558	-0.05411436586647729	0.019192168621412486
Neisseria sicca	-0.06294813065729415	-0.02909619751283154	0.0056698875573189195
Actinomyces howellii	-0.06269274337043249	0.03912904145490965	-0.00954870305619388
Treponema sp. Marseille-Q4132	-0.062454431595243755	0.05760540821556317	0.04141816621279424
Neisseria animalis	-0.06104313196847954	-0.034470628934555214	-0.0027363717554091845
Neisseria dentiae	-0.06052696592650366	-0.027454322863079382	-0.007289903959294059
Actinomyces sp. ZJ34	-0.060395448750425865	0.042171659969577356	-0.010328172757411937
Actinomyces procaprae	-0.06013736908379021	0.03090237154691041	-0.02112609274099627
Campylobacter concisus	-0.059894611992027724	0.014268782328863047	0.07534859514529119
Leptotrichia shahii	-0.05985279777743148	-0.02542307805769536	0.031226182192577952
Actinomyces radicidentis	-0.059729260803802406	0.045578299030728964	-0.007669456014719136
Neisseria musculi	-0.059520239686975514	-0.028033788859151153	0.0010808732277286348
Actinomyces sp. Z16	-0.05892803518370874	0.03497900601458987	-0.015507897874972063
Treponema parvum	-0.05864780961804684	0.03858922531254305	0.01929370902727133
Neisseria shayeganii	-0.05851263889854803	-0.020611750837824367	-0.01057154990295354
Actinomyces qiguomingii	-0.05821229454097667	0.034389296311585923	-0.014525177143648847
Actinomyces marmotae	-0.05721633776572778	0.02989507593772475	-0.020455593332266642
Actinomyces wuliandei	-0.05697681697823637	0.03156301207188293	-0.012943744361556615
Fusobacterium sp. oral taxon 203	-0.05628287588118776	-0.028223799277774502	0.04910721075462298
Neisseria brasiliensis	-0.056277749789014536	-0.04206360853642528	0.0055886215233939395
