species	PC1	PC2
Gemella sanguinis	-0.18009648022923513	0.06456756603478894
Rothia dentocariosa	-0.15396841650903997	0.03573911350310014
Neisseria sp. oral taxon 014	-0.15012646528999385	-0.006596135366922996
Neisseria meningitidis	-0.13939684009034492	-0.001735637456601535
Neisseria mucosa	-0.13782304521788155	-0.026456276583515192
Neisseria flavescens	-0.13737945182756658	0.019576385301843812
Neisseria elongata	-0.13295499517654968	-0.021302118683316922
Streptococcus sp. oral taxon 064	-0.12891846475224247	0.0728488751160936
Cardiobacterium hominis	-0.12526551822102933	-0.024649214604484725
Neisseria lactamica	-0.11940610227984699	-0.005609310986981227
Aggregatibacter aphrophilus	-0.11647675739586237	-0.008769072889368087
Kingella denitrificans	-0.11321081439419531	-0.02807938038682084
Enterococcus faecalis	0.10917385719762374	0.05653606362052564
Neisseria subflava	-0.10774677202473748	-0.027461167613960225
Streptococcus sp. oral taxon 431	-0.10001477901145277	0.012782417742783913
Abiotrophia defectiva	-0.09790113576651559	-0.038814205203909116
Selenomonas sp. oral taxon 136	0.09726607909019104	-0.11286376647755789
Parascardovia denticolens	0.096692355214023	-0.03942164498380831
Rothia aeria	-0.09612800925336766	-0.05457139485758316
Corynebacterium matruchotii	-0.094294261175408	-0.03574690041626797
Selenomonas sp. oral taxon 478	0.09378781465518561	-0.1261906991199301
Ndongobacter massiliensis	0.09348371870651406	-0.025333228955019237
Gemella haemolysans	-0.09347804671344417	-0.04868341453931374
Treponema phagedenis	0.09269846130314446	-0.007628364900481665
Leptotrichia wadei	-0.09235996082972894	0.029441342724305455
Rothia mucilaginosa	-0.0917019696255768	-0.04047181037292601
Capnocytophaga gingivalis	-0.08882458246607507	-0.0403606621417566
Neisseria polysaccharea	-0.08633740903493561	-0.02831982783037681
[Haemophilus] ducreyi	0.08581005961420943	-0.025048410747059036
Selenomonas ruminantium	0.08506814149906215	0.0017977166463818768
Eubacterium limosum	0.08461391197974757	-0.023536362254014776
Neisseria bacilliformis	-0.08438523595641712	-0.025123124415802077
Gardnerella vaginalis	0.08400637489453743	-0.021286592600174396
Aggregatibacter sp. 2125159857	-0.08205441085545587	-0.014756541235617957
Eggerthella lenta	0.0812621883701502	0.041695432334282904
Neisseria sp. KEM232	-0.08122532177371489	-0.031244590145613736
Streptococcus infantis	-0.07949647186987449	0.01183129130442398
Streptococcus australis	-0.0787009436979175	0.01507161825866422
Bifidobacterium breve	0.07863021748361594	-0.050544482742132364
Neisseria sicca	-0.07849480718455532	-0.03313270694321226
Neisseria chenwenguii	-0.07707447645834672	-0.02628342269279662
Bifidobacterium dentium	0.07680745458060802	-0.03582830746697723
Fusobacterium periodonticum	-0.07673593413259622	0.062111803790724084
Desulfovibrio fairfieldensis	0.07636170690362155	-0.020423768354751976
Bifidobacterium longum	0.07518704962707978	-0.04867482925180442
Neisseria sp. ZJ785	-0.07476002610190649	-0.023105607742174808
Streptococcus mitis	-0.07475076226620678	0.013433118773275231
Lachnoclostridium sp. YL32	0.07469740294236246	-0.048242725480859415
Neisseria brasiliensis	-0.07468393001892291	-0.02284266987697756
Blattabacterium cuenoti	0.07410516456215605	-0.015491147460266284
Selenomonas sputigena	0.07386726224613265	-0.10880129066443638
Clostridium sp. JN-9	0.0735626376625969	-0.018806467705806164
Desulfomicrobium orale	0.07352156778716326	-0.022249953656842163
Neisseria animalis	-0.07331860034637244	-0.02373851042402838
Streptococcus parasanguinis	-0.07293252602656371	0.033898581182671667
Anaerocolumna cellulosilytica	0.0725530011867118	-0.012363488239647117
Haemophilus sp. oral taxon 036	-0.07250315582198184	-0.010238335457728514
Akkermansia muciniphila	0.0725014503494008	-0.021487178817410878
Kingella oralis	-0.07196099602893281	-0.0460687085450505
Selenomonas sp. oral taxon 126	0.07174462331198876	-0.09097877332164961
Streptococcus oralis	-0.07171457095835991	0.030279845286024464
Capnocytophaga sp. FDAARGOS_737	-0.07159821894786703	-0.045716906611180844
Neisseria sp. 10022	-0.07026406505813124	-0.020956896429976366
Dysosmobacter welbionis	0.06999221852656173	-0.03192099402069136
Haemophilus haemolyticus	-0.06993454321813275	-0.023217504900201382
Pseudomonas aeruginosa	0.06982315124023954	-0.007921651953038629
Haemophilus pittmaniae	-0.06955078369565275	0.05797086306710705
Neisseria musculi	-0.0694357008408779	-0.02242620951751499
Neisseria animaloris	-0.06930372401871848	-0.02120239649198297
Neisseria zoodegmatis	-0.0688466876927184	-0.020633094914171507
Fusobacterium necrophorum	0.06870394420135112	-0.04070865140054896
Capnocytophaga sputigena	-0.06825564465275183	-0.06449851455519368
Neisseria zalophi	-0.06779770892630166	-0.019528191135949145
Neisseria weaveri	-0.06569547243702556	-0.019387506219364952
Fusobacterium varium	0.06556086178642728	-0.03417876975043258
Sporosarcina sp. Te-1	0.06508019108846251	-0.059969480956193484
Pseudomonas stutzeri	0.06458207674019474	-0.06486726626186597
Capnocytophaga leadbetteri	-0.06453092669890569	-0.0550136683851318
Bacteroides xylanisolvens	0.06408384911211248	-0.01585999982252179
Actinomadura verrucosospora	0.06382954983442816	-0.03634664718612315
Eikenella exigua	-0.06356739748340963	-0.04625304172074707
Lautropia mirabilis	-0.06355670340630924	-0.14003110353806622
Selenomonas sp. oral taxon 920	0.06306045144673988	-0.11802759770512916
Paenibacillus durus	0.06296312617000219	-0.039712137351378414
Streptococcus phage SpSL1	-0.06259947798112236	-0.038278225243665184
Streptococcus pneumoniae	-0.062354112952110796	0.0118812983099726
Bacteroides ovatus	0.06213220021494406	-0.01608383764504885
Streptococcus troglodytae	-0.06156397429206606	-0.02022140083705228
Bifidobacterium choerinum	0.061396512287425015	-0.06789311913895117
Paenibacillus donghaensis	0.0610579260646947	-0.0036203352745522786
Fusobacterium gonidiaformans	0.06036438960425025	5.472723424641174e-4
Haemophilus influenzae	-0.05974783007165844	-0.03942865856160541
Paenibacillus bovis	0.05962276198825607	-0.05957922131055789
Sinorhizobium fredii	0.05935321456057514	-0.023440911289046188
Odoribacter splanchnicus	0.0592292585316634	-0.012443168613872608
Ottowia sp. oral taxon 894	-0.05889537991498192	-0.02669557269434368
Streptococcus sanguinis	-0.05888490268178495	1.325712560551341e-4
Phocaeicola salanitronis	0.05874717576024707	-0.0026141067382673983
Prevotella oris	0.05851635213503139	-0.027158843846098586
Bacteroides fragilis	0.05799047404109249	-0.006293106932353414
Treponema ruminis	0.057834122849976244	-0.041530374134768525
Rothia terrae	-0.0577527151305621	-0.03417740443862332
Neisseria dentiae	-0.05688281591487174	-0.03367109652533465
