sample	genus	count	rel_abund
JAE006.A0101	Abiotrophia	65272	0.001189553203510589
JAE006.A0101	Achromobacter	3027	5.516573028291691e-5
JAE006.A0101	Acidovorax	16342	2.978256902158666e-4
JAE006.A0101	Acinetobacter	590	1.0752487897892626e-5
JAE006.A0101	Actinobacillus	16299	2.970420343182236e-4
JAE006.A0101	Actinomyces	1882745	0.03431219123274212
JAE006.A0101	Aggregatibacter	6675206	0.12165266395074617
JAE006.A0101	Alcaligenes	607	1.1062305345798007e-5
JAE006.A0101	Alicycliphilus	3467	6.318453481693854e-5
JAE006.A0101	Alysiella	887	1.6165180958357218e-5
JAE006.A0101	Amniculibacterium	1508	2.7482630084783186e-5
JAE006.A0101	Aquabacterium	1012	1.8443250428249724e-5
JAE006.A0101	Aquaspirillum	643	1.1718389353127047e-5
JAE006.A0101	Aquimarina	1172	2.135917934971213e-5
JAE006.A0101	Avibacterium	6261	1.1410394360797582e-4
JAE006.A0101	Azotobacter	554	1.0096403890563583e-5
JAE006.A0101	Bacteroides	851	1.5509096951028176e-5
JAE006.A0101	Bergeyella	7359	1.341145058315116e-4
JAE006.A0101	Bibersteinia	2086	3.801642331356613e-5
JAE006.A0101	Bisgaardia	1467	2.6735423298658445e-5
JAE006.A0101	Blattabacterium	1674	3.0507906340800433e-5
JAE006.A0101	Bordetella	1391	2.53503570609638e-5
JAE006.A0101	Burkholderia	620	1.1299224570666826e-5
JAE006.A0101	Campylobacter	120646	0.0021987197541172097
JAE006.A0101	Candidatus	2930	5.339794837428033e-5
JAE006.A0101	Capnocytophaga	4227984	0.07705313015675196
JAE006.A0101	Cardiobacterium	278374	0.00507324248489485
JAE006.A0101	Castellaniella	683	1.244737158349265e-5
JAE006.A0101	Cellulophaga	575	1.0479119561505525e-5
JAE006.A0101	Chitinolyticbacter	565	1.0296874003914124e-5
JAE006.A0101	Chryseobacterium	18172	3.3117662725509284e-4
JAE006.A0101	Cloacibacterium	1964	3.5793027510951045e-5
JAE006.A0101	Comamonas	16224	2.9567519263628807e-4
JAE006.A0101	Conchiformibius	1653	3.012519066985849e-5
JAE006.A0101	Corynebacterium	487802	0.008889974748420031
JAE006.A0101	Cronobacter	757	1.3795988709669013e-5
JAE006.A0101	Cruoricaptor	690	1.257494347380663e-5
JAE006.A0101	Cupriavidus	2790	5.084651056800072e-5
JAE006.A0101	Delftia	829	1.5108156724327096e-5
JAE006.A0101	Desulfobulbus	5215	9.504105828391532e-5
JAE006.A0101	Diaphorobacter	3480	6.342145404180735e-5
JAE006.A0101	Dickeya	757	1.3795988709669013e-5
JAE006.A0101	Eikenella	1843710	0.033600795698684086
JAE006.A0101	Elizabethkingia	2318	4.224452024968662e-5
JAE006.A0101	Epilithonimonas	1474	2.6862995188972424e-5
JAE006.A0101	Escherichia	1906	3.4736003276920924e-5
JAE006.A0101	Filifactor	2644	4.8185725427166274e-5
JAE006.A0101	Flavobacterium	2129	3.8800079211209153e-5
JAE006.A0101	Frederiksenia	1452	2.6462054962271342e-5
JAE006.A0101	Fretibacterium	9881	1.8007683545606277e-4
JAE006.A0101	Fusobacterium	74573	0.0013590597966263505
JAE006.A0101	Galbibacter	685	1.248382069501093e-5
JAE006.A0101	Gallibacterium	2022	3.6850051744981165e-5
JAE006.A0101	Gemella	1672	3.0471457229282153e-5
JAE006.A0101	Glaesserella	3565	6.497054128133426e-5
JAE006.A0101	Haemophilus	472954	0.00861937654450832
JAE006.A0101	Herbaspirillum	727	1.3249252036894811e-5
JAE006.A0101	Histophilus	2420	4.410342493711891e-5
JAE006.A0101	Homo	52641	9.59358839716891e-4
JAE006.A0101	Hydrogenophaga	11040	2.011990955809061e-4
JAE006.A0101	Hylemonella	1406	2.56237253973509e-5
JAE006.A0101	Janthinobacterium	1143	2.0830667232697067e-5
JAE006.A0101	Jeongeupia	1671	3.045323267352301e-5
JAE006.A0101	Kaistella	2680	4.884180943449532e-5
JAE006.A0101	Kingella	111513	0.0020322748863689836
JAE006.A0101	Kinneretia	661	1.2046431356791569e-5
JAE006.A0101	Klebsiella	1328	2.4202210048137978e-5
JAE006.A0101	Lachnoanaerobaculum	2420	4.410342493711891e-5
JAE006.A0101	Laribacter	1410	2.569662362038746e-5
JAE006.A0101	Lautropia	3943763	0.07187332869433341
JAE006.A0101	Leptotrichia	120994	0.0022050618995213904
JAE006.A0101	Limnohabitans	959	1.7477348973015303e-5
JAE006.A0101	Mannheimia	11309	2.0610150108011475e-4
JAE006.A0101	Massilia	1262	2.2999389368034733e-5
JAE006.A0101	Melaminivora	1573	2.8667226209127288e-5
JAE006.A0101	Methylococcus	897	1.634742651594862e-5
JAE006.A0101	Microvirgula	556	1.0132853002081864e-5
JAE006.A0101	Mogibacterium	1276	2.3254533148662694e-5
JAE006.A0101	Moraxella	4534	8.263013581194096e-5
JAE006.A0101	Morganella	702	1.279363814291631e-5
JAE006.A0101	Myroides	773	1.4087581601815254e-5
JAE006.A0101	Neisseria	9199670	0.16765989888068789
JAE006.A0101	Ornithobacterium	1204	2.1942365134004613e-5
JAE006.A0101	Orrella	641	1.1681940241608767e-5
JAE006.A0101	Otariodibacter	1185	2.159609857458095e-5
JAE006.A0101	Ottowia	11375317	0.20731009894439364
JAE006.A0101	Pandoraea	1053	1.9190457214374465e-5
JAE006.A0101	Parvimonas	1348	2.456670116332078e-5
JAE006.A0101	Pasteurella	13155	2.3974403101148726e-4
JAE006.A0101	Paucibacter	1685	3.070837645415097e-5
JAE006.A0101	Pauljensenia	2895	5.2760088922710425e-5
JAE006.A0101	Pectobacterium	573	1.0442670449987245e-5
JAE006.A0101	Pigmentiphaga	1182	2.154142490730353e-5
JAE006.A0101	Polaromonas	2108	3.8417363540267214e-5
JAE006.A0101	Porphyromonas	13753	2.50642315355453e-4
JAE006.A0101	Prevotella	7014	1.2782703409460825e-4
JAE006.A0101	Proteus	646	1.1773063020404468e-5
JAE006.A0101	Providencia	674	1.228335058166039e-5
JAE006.A0101	Pseudoleptotrichia	7815	1.4242490325767944e-4
JAE006.A0101	Pseudomonas	11064	2.0163648491912544e-4
JAE006.A0101	Pseudopropionibacterium	268355	0.004890650660744026
JAE006.A0101	Pulveribacter	1745	3.1801849799699376e-5
