count	species	sample
3	Burkholderia pyrrocinia	LIB030.A0117
3	Burkholderia multivorans	LIB030.A0117
3	Burkholderia cenocepacia	LIB030.A0117
2	Burkholderia stabilis	LIB030.A0117
2	Burkholderia ubonensis	LIB030.A0117
2	Burkholderia ambifaria	LIB030.A0117
2	Burkholderia stagnalis	LIB030.A0117
1	Burkholderia territorii	LIB030.A0117
1	Burkholderia cepacia	LIB030.A0117
1	Burkholderia latens	LIB030.A0117
1	Burkholderia anthina	LIB030.A0117
1	Burkholderia sp. DHOD12	LIB030.A0117
1	Burkholderia sp. LA-2-3-30-S1-D2	LIB030.A0117
1	Burkholderia sp. Bp7605	LIB030.A0117
1	Burkholderia sp. IDO3	LIB030.A0117
1	Burkholderia pseudomallei	LIB030.A0117
1	Burkholderia oklahomensis	LIB030.A0117
1	Burkholderia sp. BDU6	LIB030.A0117
1	Burkholderia glumae	LIB030.A0117
1	Burkholderia gladioli	LIB030.A0117
3	Paraburkholderia fungorum	LIB030.A0117
1	Paraburkholderia sp. 7MH5	LIB030.A0117
1	Paraburkholderia sp. PGU19	LIB030.A0117
2	Paraburkholderia acidisoli	LIB030.A0117
2	Paraburkholderia phytofirmans	LIB030.A0117
2	Paraburkholderia acidophila	LIB030.A0117
1	Paraburkholderia acidiphila	LIB030.A0117
1	Paraburkholderia terricola	LIB030.A0117
1	Paraburkholderia aromaticivorans	LIB030.A0117
1	Paraburkholderia megapolitana	LIB030.A0117
10	Lautropia mirabilis	LIB030.A0117
3	Ralstonia insidiosa	LIB030.A0117
1	Ralstonia solanacearum	LIB030.A0117
1	Ralstonia pickettii	LIB030.A0117
3	Cupriavidus pauculus	LIB030.A0117
1	Cupriavidus oxalaticus	LIB030.A0117
1	Cupriavidus metallidurans	LIB030.A0117
1	Pandoraea pnomenusa	LIB030.A0117
1	Variovorax sp. RA8	LIB030.A0117
1	Variovorax sp. HW608	LIB030.A0117
1	Variovorax boronicumulans	LIB030.A0117
1	Acidovorax sp. KKS102	LIB030.A0117
1	Acidovorax sp. RAC01	LIB030.A0117
1	Acidovorax antarcticus	LIB030.A0117
1	Hydrogenophaga sp. NH-16	LIB030.A0117
1	Hydrogenophaga sp. YM1	LIB030.A0117
3	Kinneretia sp. DAIF2	LIB030.A0117
1	Rhodoferax sediminis	LIB030.A0117
1	Rhodoferax sp. AJA081-3	LIB030.A0117
1	Comamonas koreensis	LIB030.A0117
1	Comamonas serinivorans	LIB030.A0117
2	Ramlibacter tataouinensis	LIB030.A0117
2	Alicycliphilus denitrificans	LIB030.A0117
1	Pulveribacter suum	LIB030.A0117
1	Melaminivora sp. SC2-9	LIB030.A0117
1	Candidatus Symbiobacter mobilis	LIB030.A0117
1	Simplicispira suum	LIB030.A0117
1	Diaphorobacter sp. HDW4A	LIB030.A0117
1	Hylemonella gracilis	LIB030.A0117
1	Ottowia sp. 27C	LIB030.A0117
1	Schlegelella thermodepolymerans	LIB030.A0117
1	Polaromonas sp. JS666	LIB030.A0117
19	Aquabacterium olei	LIB030.A0117
1	Thiomonas arsenitoxydans	LIB030.A0117
1	Thiomonas sp. X19	LIB030.A0117
3	Roseateles depolymerans	LIB030.A0117
2	Rhizobacter gummiphilus	LIB030.A0117
1	Rhizobacter sp. AJA081-3	LIB030.A0117
2	Paucibacter sp. KCTC 42545	LIB030.A0117
1	Leptothrix cholodnii	LIB030.A0117
1	Sphaerotilus natans	LIB030.A0117
1	Mitsuaria sp. 7	LIB030.A0117
1	Inhella inkyongensis	LIB030.A0117
1	Achromobacter xylosoxidans	LIB030.A0117
1	Bordetella avium	LIB030.A0117
1	Bordetella hinzii	LIB030.A0117
1	Janthinobacterium agaricidamnosum	LIB030.A0117
1	Janthinobacterium sp. 1_2014MBL_MicDiv	LIB030.A0117
19	Neisseria sicca	LIB030.A0117
7	Neisseria mucosa	LIB030.A0117
3	Neisseria elongata	LIB030.A0117
3	Neisseria bacilliformis	LIB030.A0117
1	Neisseria sp. KEM232	LIB030.A0117
1	Neisseria chenwenguii	LIB030.A0117
1	Neisseria meningitidis	LIB030.A0117
1	Neisseria subflava	LIB030.A0117
2	Kingella oralis	LIB030.A0117
1	Kingella denitrificans	LIB030.A0117
1	Eikenella corrodens	LIB030.A0117
1	Aromatoleum bremense	LIB030.A0117
1	Azoarcus sp. DN11	LIB030.A0117
115	Bradyrhizobium sp. PSBB068	LIB030.A0117
10	Bradyrhizobium sp. BTAi1	LIB030.A0117
7	Bradyrhizobium sp. SK17	LIB030.A0117
2	Bradyrhizobium betae	LIB030.A0117
2	Sinorhizobium meliloti	LIB030.A0117
1	Caenibius tardaugens	LIB030.A0117
1	Methylocella silvestris	LIB030.A0117
1	Sphingomonas alpina	LIB030.A0117
1	Sphingobium baderi	LIB030.A0117
1	Qipengyuania flava	LIB030.A0117
1	Tsuneonella amylolytica	LIB030.A0117
1	Magnetospirillum sp. XM-1	LIB030.A0117
1	Caulobacter vibrioides	LIB030.A0117
1	Pseudomonas azotoformans	LIB030.A0117
1	Pseudomonas sp. SCB32	LIB030.A0117
1	Pseudomonas stutzeri	LIB030.A0117
1	Pseudomonas putida	LIB030.A0117
1	Pseudomonas aeruginosa	LIB030.A0117
1	Acinetobacter johnsonii	LIB030.A0117
2	Moraxella osloensis	LIB030.A0117
3	Klebsiella michiganensis	LIB030.A0117
2	Escherichia coli	LIB030.A0117
1	Raoultella terrigena	LIB030.A0117
7	Haemophilus parainfluenzae	LIB030.A0117
2	Aggregatibacter aphrophilus	LIB030.A0117
1	Xanthomonas campestris	LIB030.A0117
1	Stenotrophomonas acidaminiphila	LIB030.A0117
1	Rhodanobacter sp. FDAARGOS 1247	LIB030.A0117
1	Dyella caseinilytica	LIB030.A0117
1	Ectothiorhodospira sp. BSL-9	LIB030.A0117
1	Shewanella sp. FJAT-51800	LIB030.A0117
1	Aeromonas sp. ASNIH4	LIB030.A0117
49	Actinomyces sp. oral taxon 169	LIB030.A0117
18	Actinomyces sp. HMT 175	LIB030.A0117
6	Actinomyces sp. oral taxon 171	LIB030.A0117
2	Actinomyces sp. oral taxon 414	LIB030.A0117
38	Actinomyces oris	LIB030.A0117
8	Actinomyces naeslundii	LIB030.A0117
3	Actinomyces viscosus	LIB030.A0117
