count	species	sample	rel_abund
11365833	Ottowia sp. oral taxon 894	JAE006.A0101	0.20531812095066107
5230	Ottowia sp. 27C	JAE006.A0101	9.44773491368347e-5
4254	Ottowia oryzae	JAE006.A0101	7.68463944986797e-5
1700	Acidovorax sp. 1608163	JAE006.A0101	3.0709654595147035e-5
1481	Acidovorax sp. HDW3	JAE006.A0101	2.675352850318398e-5
1379	Acidovorax sp. T1	JAE006.A0101	2.4910949227475156e-5
950	Acidovorax sp. KKS102	JAE006.A0101	1.7161277567876283e-5
851	Acidovorax sp. RAC01	JAE006.A0101	1.5372891800276547e-5
793	Acidovorax sp. JMULE5	JAE006.A0101	1.4325150643500942e-5
2764	Acidovorax avenae	JAE006.A0101	4.993028547116848e-5
2116	Acidovorax ebreus	JAE006.A0101	3.822448771960655e-5
1824	Acidovorax carolinensis	JAE006.A0101	3.2949652930322465e-5
1266	Acidovorax monticola	JAE006.A0101	2.2869660422033027e-5
625	Acidovorax cattleyae	JAE006.A0101	1.1290314189392292e-5
593	Acidovorax antarcticus	JAE006.A0101	1.0712250102895408e-5
7303	Comamonas koreensis	JAE006.A0101	1.3192506324021105e-4
2129	Comamonas serinivorans	JAE006.A0101	3.845932625474591e-5
1742	Comamonas testosteroni	JAE006.A0101	3.14683637086742e-5
1591	Comamonas kerstersii	JAE006.A0101	2.8740623800517025e-5
1481	Comamonas sp. NLF-7-7	JAE006.A0101	2.675352850318398e-5
1212	Comamonas aquatica	JAE006.A0101	2.1894177276069533e-5
766	Comamonas piscis	JAE006.A0101	1.3837409070519196e-5
7683	Variovorax sp. HW608	JAE006.A0101	1.3878957426736158e-4
1196	Variovorax sp. PAMC26660	JAE006.A0101	2.160514523282109e-5
684	Variovorax sp. RA8	JAE006.A0101	1.2356119848870925e-5
640	Variovorax sp. PAMC28562	JAE006.A0101	1.1561281729937709e-5
2054	Variovorax paradoxus	JAE006.A0101	3.710448855201883e-5
2453	Hydrogenophaga sp. PBC	JAE006.A0101	4.431222513052687e-5
1858	Hydrogenophaga sp. RAC07	JAE006.A0101	3.356384602222541e-5
1468	Hydrogenophaga sp. NH-16	JAE006.A0101	2.6518689968044615e-5
1323	Hydrogenophaga sp. BA0156	JAE006.A0101	2.3899337076105607e-5
1293	Hydrogenophaga sp. YM1	JAE006.A0101	2.3357401995014777e-5
1038	Hydrogenophaga sp. BPS33	JAE006.A0101	1.875095380574272e-5
852	Hydrogenophaga sp. PAMC20947	JAE006.A0101	1.5390956302979574e-5
755	Hydrogenophaga sp. PBL-H3	JAE006.A0101	1.3638699540785887e-5
1504	Rhodoferax sp. BAB1	JAE006.A0101	2.7169012065353613e-5
830	Rhodoferax sp. AJA081-3	JAE006.A0101	1.4993537243512964e-5
1178	Rhodoferax ferrireducens	JAE006.A0101	2.1279984184166595e-5
